Map No.	Sample number	Flat number plant number (vlookup)	Tissue collected	underscore	Full Label	Pedigree	Box No.	Remarks (plate)	Remarks (well)	Collector name	Date of collection	RNA stock concentration (ng/ul)	RNA diluted concentration (ng/ul)	Accession  	Origin	Source	DNA_Plate	Row (extrapolated)	Column (extrapolated)	Nextera N7 primer	Nextera S5 primer	Notes
58	225	14A0225	LMAN_8	_	LMAN_8_14A0225		KAK_RNA_10			Ramu Nick	8082014			Mo1W			KAK_10	B	8	710	503	
59	227	14A0227	LMAN_8	_	LMAN_8_14A0227		KAK_RNA_10			Ramu Nick	8082014			NC324			KAK_10	C	8	710	505	
60	229	14A0229	LMAN_8	_	LMAN_8_14A0229		KAK_RNA_10			Ramu Nick	8082014			B97			KAK_10	D	8	710	506	
61	231	14A0231	LMAN_8	_	LMAN_8_14A0231		KAK_RNA_10			Ramu Nick	8082014			NC328			KAK_10	E	8	710	507	
62	233	14A0233	LMAN_8	_	LMAN_8_14A0233		KAK_RNA_10			Ramu Nick	8082014			38-11			KAK_10	F	8	710	508	
63	235	14A0235	LMAN_8	_	LMAN_8_14A0235		KAK_RNA_10			Ramu Nick	8082014			B73Htrhm			KAK_10	G	8	710	510	
64	237	14A0237	LMAN_8	_	LMAN_8_14A0237		KAK_RNA_10			Ramu Nick	8082014			SA24			KAK_10	H	8	710	511	
65	239	14A0239	LMAN_8	_	LMAN_8_14A0239		KAK_RNA_10			Ramu Nick	8082014			B73			KAK_10	A	9	711	502	
66	240	14A0240	LMAN_8	_	LMAN_8_14A0240		KAK_RNA_10			Ramu Nick	8082014			W22 R-rstd			KAK_10	B	9	711	503	
67	241	14A0241	LMAN_8	_	LMAN_8_14A0241		KAK_RNA_10			Ramu Nick	8082014			B37			KAK_10	C	9	711	505	
68	247	14A0247	LMAN_8	_	LMAN_8_14A0247		KAK_RNA_10			Ramu Nick	8082014			Va22			KAK_10	D	9	711	506	
69	249	14A0249	LMAN_8	_	LMAN_8_14A0249		KAK_RNA_10			Ramu Nick	8082014			B2			KAK_10	E	9	711	507	
70	251	14A0251	LMAN_8	_	LMAN_8_14A0251		KAK_RNA_10			Ramu Nick	8082014			HP301			KAK_10	F	9	711	508	
71	255	14A0255	LMAN_8	_	LMAN_8_14A0255		KAK_RNA_10			Ramu Nick	8082014			T8			KAK_10	G	9	711	510	
72	257	14A0257	LMAN_8	_	LMAN_8_14A0257		KAK_RNA_10			Ramu Nick	8082014			Va17			KAK_10	H	9	711	511	
73	261	14A0261	LMAN_8	_	LMAN_8_14A0261		KAK_RNA_10			Alberto Mei	8082014			NC368			KAK_10	A	10	712	502	
74	263	14A0263	LMAN_8	_	LMAN_8_14A0263		KAK_RNA_10			Alberto Mei	8082014			B104			KAK_10	B	10	712	503	
75	265	14A0265	LMAN_8	_	LMAN_8_14A0265		KAK_RNA_10			Alberto Mei	8082014			NC264			KAK_10	C	10	712	505	
76	267	14A0267	LMAN_8	_	LMAN_8_14A0267		KAK_RNA_10			Alberto Mei	8082014			F2834T			KAK_10	D	10	712	506	
77	271	14A0271	LMAN_8	_	LMAN_8_14A0271		KAK_RNA_10			Alberto Mei	8082014			Oh603			KAK_10	E	10	712	507	
78	275	14A0275	LMAN_8	_	LMAN_8_14A0275		KAK_RNA_10			Alberto Mei	8082014			R229			KAK_10	F	10	712	508	
79	277	14A0277	LMAN_8	_	LMAN_8_14A0277		KAK_RNA_10			Alberto Mei	8082014			Pa875			KAK_10	G	10	712	510	
80	279	14A0279	LMAN_8	_	LMAN_8_14A0279		KAK_RNA_10			Alberto Mei	8082014			B10			KAK_10	H	10	712	511	RT master mix ran out (not added)
81	281	14A0281	LMAN_8	_	LMAN_8_14A0281		KAK_RNA_10			Alberto Mei	8082014			B68			KAK_10	A	11	714	502	
82	283	14A0283	LMAN_8	_	LMAN_8_14A0283		KAK_RNA_10			Alberto Mei	8082014			K55			KAK_10	B	11	714	503	
83	287	14A0287	LMAN_8	_	LMAN_8_14A0287		KAK_RNA_10			Alberto Mei	8082014			B105			KAK_10	C	11	714	505	
84	289	14A0289	LMAN_8	_	LMAN_8_14A0289		KAK_RNA_10			Alberto Mei	8082014			DE1			KAK_10	D	11	714	506	
85	291	14A0291	LMAN_8	_	LMAN_8_14A0291		KAK_RNA_10			Alberto Mei	8082014			NC290A			KAK_10	E	11	714	507	
86	295	14A0295	LMAN_8	_	LMAN_8_14A0295		KAK_RNA_10			Alberto Mei	8082014			NC358			KAK_10	F	11	714	508	
87	297	14A0297	LMAN_8	_	LMAN_8_14A0297		KAK_RNA_10			Alberto Mei	8082014			NC294			KAK_10	G	11	714	510	
88	301	14A0301	LMAN_8	_	LMAN_8_14A0301		KAK_RNA_10			Alberto Mei	8082014			DE2			KAK_10	H	11	714	511	RT master mix ran out (not added)
89	303	14A0303	LMAN_8	_	LMAN_8_14A0303		KAK_RNA_10			Alberto Mei	8082014			B73			KAK_10	A	12	715	502	RT master mix running out
90	304	14A0304	LMAN_8	_	LMAN_8_14A0304		KAK_RNA_10			Alberto Mei	8082014			B115			KAK_10	B	12	715	503	RT master mix running out
91	305	14A0305	LMAN_8	_	LMAN_8_14A0305		KAK_RNA_10			Alberto Mei	8082014			H91			KAK_10	C	12	715	505	RT master mix running out
92	311	14A0311	LMAN_8	_	LMAN_8_14A0311		KAK_RNA_10			Alberto Mei	8082014			4722			KAK_10	D	12	715	506	RT master mix running out
93	313	14A0313	LMAN_8	_	LMAN_8_14A0313		KAK_RNA_10			Alberto Mei	8082014			K148			KAK_10	E	12	715	507	RT master mix running out
94	321	14A0321	LMAN_8	_	LMAN_8_14A0321		KAK_RNA_10			Alberto Mei	8082014			SG 18			KAK_10	F	12	715	508	RT master mix running out
95	325	14A0325	LMAN_8	_	LMAN_8_14A0325		KAK_RNA_10			Alberto Mei	8082014			Ky226			KAK_10	G	12	715	510	RT master mix running out
96	339	14A0339	LMAN_8	_	LMAN_8_14A0339		KAK_RNA_10			Alberto Mei	8082014			Mo45			KAK_10	H	12	715	511	RT master mix running out
1	299	14A0299	LMAN_26	_	LMAN_26_14A0299		KAK_RNA_13			Josh Jason	8262014			I137TN			KAK_13	A	1	716	502	
2	303	14A0303	LMAN_26	_	LMAN_26_14A0303		KAK_RNA_13			Josh Jason	8262014			B73			KAK_13	B	1	716	503	
3	304	14A0304	LMAN_26	_	LMAN_26_14A0304		KAK_RNA_13			Josh Jason	8262014			B115			KAK_13	C	1	716	505	
4	307	14A0307	LMAN_26	_	LMAN_26_14A0307		KAK_RNA_13			Josh Jason	8262014			A441-5			KAK_13	D	1	716	506	
5	309	14A0309	LMAN_26	_	LMAN_26_14A0309		KAK_RNA_13			Josh Jason	8262014			33-16			KAK_13	E	1	716	507	
6	315	14A0315	LMAN_26	_	LMAN_26_14A0315		KAK_RNA_13			Josh Jason	8262014			Mo.G			KAK_13	F	1	716	508	
7	317	14A0317	LMAN_26	_	LMAN_26_14A0317		KAK_RNA_13			Josh Jason	8262014			Sg 1533			KAK_13	G	1	716	510	
8	319	14A0319	LMAN_26	_	LMAN_26_14A0319		KAK_RNA_13			Josh Jason	8262014			M37W			KAK_13	H	1	716	511	
9	323	14A0323	LMAN_26	_	LMAN_26_14A0323		KAK_RNA_13			Josh Jason	8262014			Mp339			KAK_13	A	2	718	502	
10	327	14A0327	LMAN_26	_	LMAN_26_14A0327		KAK_RNA_13			Josh Jason	8262014			NC318			KAK_13	B	2	718	503	
11	329	14A0329	LMAN_26	_	LMAN_26_14A0329		KAK_RNA_13			Josh Jason	8262014			Pa880			KAK_13	C	2	718	505	
12	331	14A0331	LMAN_26	_	LMAN_26_14A0331		KAK_RNA_13			Josh Jason	8262014			U267Y			KAK_13	D	2	718	506	
13	333	14A0333	LMAN_26	_	LMAN_26_14A0333		KAK_RNA_13			Josh Jason	8262014			K64			KAK_13	E	2	718	507	
14	335	14A0335	LMAN_26	_	LMAN_26_14A0335		KAK_RNA_13			Josh Jason	8262014			NC344			KAK_13	F	2	718	508	
15	337	14A0337	LMAN_26	_	LMAN_26_14A0337		KAK_RNA_13			Josh Jason	8262014			NC356			KAK_13	G	2	718	510	
16	341	14A0341	LMAN_26	_	LMAN_26_14A0341		KAK_RNA_13			Josh Jason	8262014			NC258			KAK_13	H	2	718	511	
17	349	14A0349	LMAN_26	_	LMAN_26_14A0349		KAK_RNA_13			Josh Jason	8262014			T234			KAK_13	A	3	719	502	
18	351	14A0351	LMAN_26	_	LMAN_26_14A0351		KAK_RNA_13			Josh Jason	8262014			CML 154Q			KAK_13	B	3	719	503	
19	353	14A0353	LMAN_26	_	LMAN_26_14A0353		KAK_RNA_13			Josh Jason	8262014			NC354			KAK_13	C	3	719	505	
20	355	14A0355	LMAN_26	_	LMAN_26_14A0355		KAK_RNA_13			Josh Jason	8262014			CI31A			KAK_13	D	3	719	506	
21	359	14A0359	LMAN_26	_	LMAN_26_14A0359		KAK_RNA_13			Josh Jason	8262014			NC296A			KAK_13	E	3	719	507	
22	361	14A0361	LMAN_26	_	LMAN_26_14A0361		KAK_RNA_13			Josh Jason	8262014			NC346			KAK_13	F	3	719	508	
23	363	14A0363	LMAN_26	_	LMAN_26_14A0363		KAK_RNA_13			Josh Jason	8262014			NC320			KAK_13	G	3	719	510	
24	365	14A0365	LMAN_26	_	LMAN_26_14A0365		KAK_RNA_13			Josh Jason	8262014			K4			KAK_13	H	3	719	511	
25	367	14A0367	LMAN_26	_	LMAN_26_14A0367		KAK_RNA_13			Josh Jason	8262014			Ki21			KAK_13	A	4	720	502	
26	369	14A0369	LMAN_26	_	LMAN_26_14A0369		KAK_RNA_13			Josh Jason	8262014			CML 103			KAK_13	B	4	720	503	
27	371	14A0371	LMAN_26	_	LMAN_26_14A0371		KAK_RNA_13			Josh Jason	8262014			Oh7B			KAK_13	C	4	720	505	
28	373	14A0373	LMAN_26	_	LMAN_26_14A0373		KAK_RNA_13			Josh Jason	8262014			NC230			KAK_13	D	4	720	506	
29	381	14A0381	LMAN_26	_	LMAN_26_14A0381		KAK_RNA_13			Josh Jason	8262014			B73			KAK_13	E	4	720	507	
30	382	14A0382	LMAN_26	_	LMAN_26_14A0382		KAK_RNA_13			Josh Jason	8262014			CML277			KAK_13	F	4	720	508	
31	383	14A0383	LMAN_26	_	LMAN_26_14A0383		KAK_RNA_13			Josh Jason	8262014			CI 91B Goodman-Buckler			KAK_13	G	4	720	510	
32	385	14A0385	LMAN_26	_	LMAN_26_14A0385		KAK_RNA_13			Josh Jason	8262014			Ky228			KAK_13	H	4	720	511	
33	387	14A0387	LMAN_26	_	LMAN_26_14A0387		KAK_RNA_13			Josh Jason	8262014			M162W			KAK_13	A	5	721	502	
34	389	14A0389	LMAN_26	_	LMAN_26_14A0389		KAK_RNA_13			Josh Jason	8262014			NC350			KAK_13	B	5	721	503	
35	391	14A0391	LMAN_26	_	LMAN_26_14A0391		KAK_RNA_13			Josh Jason	8262014			Va85			KAK_13	C	5	721	505	
36	397	14A0397	LMAN_26	_	LMAN_26_14A0397		KAK_RNA_13			Josh Jason	8262014			NC232			KAK_13	D	5	721	506	
37	399	14A0399	LMAN_26	_	LMAN_26_14A0399		KAK_RNA_13			Josh Jason	8262014			NC348			KAK_13	E	5	721	507	
38	401	14A0401	LMAN_26	_	LMAN_26_14A0401		KAK_RNA_13			Josh Jason	8262014			CI90C			KAK_13	F	5	721	508	
39	403	14A0403	LMAN_26	_	LMAN_26_14A0403		KAK_RNA_13			Josh Jason	8262014			CI28A Goodman-Buckler			KAK_13	G	5	721	510	
40	405	14A0405	LMAN_26	_	LMAN_26_14A0405		KAK_RNA_13			Josh Jason	8262014			NC302			KAK_13	H	5	721	511	
41	407	14A0407	LMAN_26	_	LMAN_26_14A0407		KAK_RNA_13			Josh Jason	8262014			SC 357			KAK_13	A	6	722	502	
42	409	14A0409	LMAN_26	_	LMAN_26_14A0409		KAK_RNA_13			Josh Jason	8262014			CML 92			KAK_13	B	6	722	503	
43	411	14A0411	LMAN_26	_	LMAN_26_14A0411		KAK_RNA_13			Josh Jason	8262014			NC222			KAK_13	C	6	722	505	
44	413	14A0413	LMAN_26	_	LMAN_26_14A0413		KAK_RNA_13			Josh Jason	8262014			Ky21			KAK_13	D	6	722	506	
45	415	14A0415	LMAN_26	_	LMAN_26_14A0415		KAK_RNA_13			Josh Jason	8262014			CML 108			KAK_13	E	6	722	507	
46	417	14A0417	LMAN_26	_	LMAN_26_14A0417		KAK_RNA_13			Josh Jason	8262014			NC300			KAK_13	F	6	722	508	
47	419	14A0419	LMAN_26	_	LMAN_26_14A0419		KAK_RNA_13			Josh Jason	8262014			Tzi 25			KAK_13	G	6	722	510	
48	421	14A0421	LMAN_26	_	LMAN_26_14A0421		KAK_RNA_13			Josh Jason	8262014			NC352			KAK_13	H	6	722	511	
49	423	14A0423	LMAN_26	_	LMAN_26_14A0423		KAK_RNA_13			Karl	8262014			Tzi 16			KAK_13	A	7	723	502	
50	425	14A0425	LMAN_26	_	LMAN_26_14A0425		KAK_RNA_13			Karl	8262014			Ab28A			KAK_13	B	7	723	503	
51	427	14A0427	LMAN_26	_	LMAN_26_14A0427		KAK_RNA_13			Karl	8262014			CML 322			KAK_13	C	7	723	505	
52	BLANK	14ABLANK	LMAN_26	_	LMAN_26_14ABLANK_KAK13_D7		KAK_RNA_13			Karl	8262014			#N/A			KAK_13	D	7	723	506	
53	429	14A0429	LMAN_26	_	LMAN_26_14A0429		KAK_RNA_13			Karl	8262014			NC304			KAK_13	E	7	723	507	
54	431	14A0431	LMAN_26	_	LMAN_26_14A0431		KAK_RNA_13			Karl	8262014			NC236			KAK_13	F	7	723	508	
55	433	14A0433	LMAN_26	_	LMAN_26_14A0433		KAK_RNA_13			Karl	8262014			L578			KAK_13	G	7	723	510	
56	437	14A0437	LMAN_26	_	LMAN_26_14A0437		KAK_RNA_13			Karl	8262014			NC296			KAK_13	H	7	723	511	
57	439	14A0439	LMAN_26	_	LMAN_26_14A0439		KAK_RNA_13			Karl	8262014			CML 69			KAK_13	A	8	724	502	
58	441	14A0441	LMAN_26	_	LMAN_26_14A0441		KAK_RNA_13			Karl	8262014			NC338			KAK_13	B	8	724	503	
59	443	14A0443	LMAN_26	_	LMAN_26_14A0443		KAK_RNA_13			Karl	8262014			Tx303			KAK_13	C	8	724	505	
60	447	14A0447	LMAN_26	_	LMAN_26_14A0447		KAK_RNA_13			Karl	8262014			Ki3			KAK_13	D	8	724	506	
61	449	14A0449	LMAN_26	_	LMAN_26_14A0449		KAK_RNA_13			Karl	8262014			CML 157Q			KAK_13	E	8	724	507	
62	451	14A0451	LMAN_26	_	LMAN_26_14A0451		KAK_RNA_13			Karl	8262014			A214N			KAK_13	F	8	724	508	
63	453	14A0453	LMAN_26	_	LMAN_26_14A0453		KAK_RNA_13			Karl	8262014			CML 91			KAK_13	G	8	724	510	
64	455	14A0455	LMAN_26	_	LMAN_26_14A0455		KAK_RNA_13			Karl	8262014			B73			KAK_13	H	8	724	511	
65	456	14A0456	LMAN_26	_	LMAN_26_14A0456		KAK_RNA_13			Karl	8262014			CML228			KAK_13	A	9	726	502	
66	457	14A0457	LMAN_26	_	LMAN_26_14A0457		KAK_RNA_13			Karl	8262014			CML 333			KAK_13	B	9	726	503	
67	459	14A0459	LMAN_26	_	LMAN_26_14A0459		KAK_RNA_13			Karl	8262014			F6			KAK_13	C	9	726	505	
68	461	14A0461	LMAN_26	_	LMAN_26_14A0461		KAK_RNA_13			Karl	8262014			NC238			KAK_13	D	9	726	506	
69	463	14A0463	LMAN_26	_	LMAN_26_14A0463		KAK_RNA_13			Karl	8262014			Tzi 9			KAK_13	E	9	726	507	
70	465	14A0465	LMAN_26	_	LMAN_26_14A0465		KAK_RNA_13			Karl	8262014			NC336			KAK_13	F	9	726	508	
71	467	14A0467	LMAN_26	_	LMAN_26_14A0467		KAK_RNA_13			Karl	8262014			CI66			KAK_13	G	9	726	510	
72	469	14A0469	LMAN_26	_	LMAN_26_14A0469		KAK_RNA_13			Karl	8262014			CML 220			KAK_13	H	9	726	511	
73	471	14A0471	LMAN_26	_	LMAN_26_14A0471		KAK_RNA_13			Nick Kelly	8262014			GT112			KAK_13	A	10	727	502	
74	473	14A0473	LMAN_26	_	LMAN_26_14A0473		KAK_RNA_13			Nick Kelly	8262014			CML 323			KAK_13	B	10	727	503	
75	475	14A0475	LMAN_26	_	LMAN_26_14A0475		KAK_RNA_13			Nick Kelly	8262014			SC55			KAK_13	C	10	727	505	
76	477	14A0477	LMAN_26	_	LMAN_26_14A0477		KAK_RNA_13			Nick Kelly	8262014			Tzi 18			KAK_13	D	10	727	506	
77	479	14A0479	LMAN_26	_	LMAN_26_14A0479		KAK_RNA_13			Nick Kelly	8262014			NC33			KAK_13	E	10	727	507	
78	481	14A0481	LMAN_26	_	LMAN_26_14A0481		KAK_RNA_13			Nick Kelly	8262014			NC366			KAK_13	F	10	727	508	
79	483	14A0483	LMAN_26	_	LMAN_26_14A0483		KAK_RNA_13			Nick Kelly	8262014			D940Y			KAK_13	G	10	727	510	
80	485	14A0485	LMAN_26	_	LMAN_26_14A0485		KAK_RNA_13			Nick Kelly	8262014			Mo18W			KAK_13	H	10	727	511	
81	487	14A0487	LMAN_26	_	LMAN_26_14A0487		KAK_RNA_13			Nick Kelly	8262014			CML 158Q			KAK_13	A	11	728	502	
82	491	14A0491	LMAN_26	_	LMAN_26_14A0491		KAK_RNA_13			Nick Kelly	8262014			Tzi 11			KAK_13	B	11	728	503	
83	493	14A0493	LMAN_26	_	LMAN_26_14A0493		KAK_RNA_13			Nick Kelly	8262014			GA209			KAK_13	C	11	728	505	
84	495	14A0495	LMAN_26	_	LMAN_26_14A0495		KAK_RNA_13			Nick Kelly	8262014			Hi27			KAK_13	D	11	728	506	
85	497	14A0497	LMAN_26	_	LMAN_26_14A0497		KAK_RNA_13			Nick Kelly	8262014			CML 38			KAK_13	E	11	728	507	
86	499	14A0499	LMAN_26	_	LMAN_26_14A0499		KAK_RNA_13			Nick Kelly	8262014			SC 213R			KAK_13	F	11	728	508	
87	501	14A0501	LMAN_26	_	LMAN_26_14A0501		KAK_RNA_13			Nick Kelly	8262014			CML 218			KAK_13	G	11	728	510	
88	505	14A0505	LMAN_26	_	LMAN_26_14A0505		KAK_RNA_13			Nick Kelly	8262014			CML 238			KAK_13	H	11	728	511	
89	507	14A0507	LMAN_26	_	LMAN_26_14A0507		KAK_RNA_13			Nick Kelly	8262014			Ki11			KAK_13	A	12	729	502	
90	511	14A0511	LMAN_26	_	LMAN_26_14A0511		KAK_RNA_13			Nick Kelly	8262014			CML 11			KAK_13	B	12	729	503	
91	513	14A0513	LMAN_26	_	LMAN_26_14A0513		KAK_RNA_13			Nick Kelly	8262014			A6			KAK_13	C	12	729	505	
92	519	14A0519	LMAN_26	_	LMAN_26_14A0519		KAK_RNA_13			Nick Kelly	8262014			CML 314			KAK_13	D	12	729	506	
93	521	14A0521	LMAN_26	_	LMAN_26_14A0521		KAK_RNA_13			Nick Kelly	8262014			Ki14			KAK_13	E	12	729	507	
94	523	14A0523	LMAN_26	_	LMAN_26_14A0523		KAK_RNA_13			Nick Kelly	8262014			CML277			KAK_13	F	12	729	508	
95	525	14A0525	LMAN_26	_	LMAN_26_14A0525		KAK_RNA_13			Nick Kelly	8262014			KUI2007			KAK_13	G	12	729	510	
96	529	14A0529	LMAN_26	_	LMAN_26_14A0529		KAK_RNA_13			Nick Kelly	8262014			Ki44			KAK_13	H	12	729	511	
1	533	14A0533	LMAN_26	_	LMAN_26_14A0533		KAK_RNA_14			Nick Kelly	8262014			CML228			KAK_14+	A	1	701	513	
2	539	14A0539	LMAN_26	_	LMAN_26_14A0539		KAK_RNA_14			Nick Kelly	8262014			CML 261			KAK_14+	B	1	701	515	
3	547	14A0547	LMAN_26	_	LMAN_26_14A0547		KAK_RNA_14			Nick Kelly	8262014			CML 331			KAK_14+	C	1	701	516	
4	549	14A0549	LMAN_26	_	LMAN_26_14A0549		KAK_RNA_14			Nick Kelly	8262014			CML 341			KAK_14+	D	1	701	517	
5	564	14A0564	LMAN_26	_	LMAN_26_14A0564		KAK_RNA_14			Nick Kelly	8262014			CML206			KAK_14+	E	1	701	518	
6	565	14A0565	LMAN_26	_	LMAN_26_14A0565		KAK_RNA_14			Nick Kelly	8262014			CML330			KAK_14+	F	1	701	520	
7	566	14A0566	LMAN_26	_	LMAN_26_14A0566		KAK_RNA_14			Nick Kelly	8262014			CML411			KAK_14+	G	1	701	521	
8	569	14A0569	LMAN_26	_	LMAN_26_14A0569		KAK_RNA_14			Nick Kelly	8262014			CML504			KAK_14+	H	1	701	522	
9	571	14A0571	LMAN_26	_	LMAN_26_14A0571		KAK_RNA_14			Nick Kelly	8262014			CML511			KAK_14+	A	2	702	513	
10	572	14A0572	LMAN_26	_	LMAN_26_14A0572		KAK_RNA_14			Nick Kelly	8262014			CML84			KAK_14+	B	2	702	515	
11	573	14A0573	LMAN_26	_	LMAN_26_14A0573		KAK_RNA_14			Nick Kelly	8262014			CML85			KAK_14+	C	2	702	516	
12	574	14A0574	LMAN_26	_	LMAN_26_14A0574		KAK_RNA_14			Nick Kelly	8262014			CML96			KAK_14+	D	2	702	517	
47	1	14A0001	LMAD_8	_	LMAD_8_14A0001		KAK_RNA_7			Karl Jeremy	8082014		440	CM37			KAK_14+	E	2	702	518	
48	3	14A0003	LMAD_8	_	LMAD_8_14A0003		KAK_RNA_7			Karl Jeremy	8082014		367	Mt42			KAK_14+	F	2	702	520	
47	107	14A0107	LMAD_8	_	LMAD_8_14A0107		KAK_RNA_8			Shu Sara	8082014		105	A634			KAK_14+	G	2	702	521	
48	109	14A0109	LMAD_8	_	LMAD_8_14A0109		KAK_RNA_8			Shu Sara	8082014		293	Va26			KAK_14+	H	2	702	522	
